DisplayName,username,email,UPN,OU,password,company,department
Kathline Okada,kokada,kokada@myazurelab.com,kokada@myazurelab.com,"OU=IT,DC=myazurelab,DC=com",password#1,IronPacket,IT
Mazie Philbeck,mphilbeck,mphilbeck@myazurelab.com,mphilbeck@myazurelab.com,"OU=IT,DC=myazurelab,DC=com",password#1,IronPacket,IT
Mark Rash,mrash,mrash@myazurelab.com,mrash@myazurelab.com,"OU=IT,DC=myazurelab,DC=com",password#1,IronPacket,IT
Rocco Adkins,radkins,radkins@myazurelab.com,radkins@myazurelab.com,"OU=IT,DC=myazurelab,DC=com",password#1,IronPacket,IT
Neida Epstein,nepstein,nepstein@myazurelab.com,nepstein@myazurelab.com,"OU=IT,DC=myazurelab,DC=com",password#1,IronPacket,IT
Emma Meighan,emeighan,emeighan@myazurelab.com,emeighan@myazurelab.com,"OU=IT,DC=myazurelab,DC=com",password#1,IronPacket,IT
Lorean Irvin,lirvin,lirvin@myazurelab.com,lirvin@myazurelab.com,"OU=IT,DC=myazurelab,DC=com",password#1,IronPacket,IT
Melynda Gallager,mgallager,mgallager@myazurelab.com,mgallager@myazurelab.com,"OU=IT,DC=myazurelab,DC=com",password#1,IronPacket,IT
Lacresha Vanepps,lvanepps,lvanepps@myazurelab.com,lvanepps@myazurelab.com,"OU=IT,DC=myazurelab,DC=com",password#1,IronPacket,IT
Anita Carron,acarron,acarron@myazurelab.com,acarron@myazurelab.com,"OU=IT,DC=myazurelab,DC=com",password#1,IronPacket,IT
Ali Rezendes,arezendes,arezendes@myazurelab.com,arezendes@myazurelab.com,"OU=IT,DC=myazurelab,DC=com",password#1,IronPacket,IT
Eusebio Bunn,ebunn,ebunn@myazurelab.com,ebunn@myazurelab.com,"OU=IT,DC=myazurelab,DC=com",password#1,IronPacket,IT
Synthia Birden,sbirden,sbirden@myazurelab.com,sbirden@myazurelab.com,"OU=IT,DC=myazurelab,DC=com",password#1,IronPacket,IT
Keven Melara,kmelara,kmelara@myazurelab.com,kmelara@myazurelab.com,"OU=IT,DC=myazurelab,DC=com",password#1,IronPacket,IT
Wenona Davalos,wdavalos,wdavalos@myazurelab.com,wdavalos@myazurelab.com,"OU=IT,DC=myazurelab,DC=com",password#1,IronPacket,IT
Hae Melendy,hmelendy,hmelendy@myazurelab.com,hmelendy@myazurelab.com,"OU=IT,DC=myazurelab,DC=com",password#1,IronPacket,IT
Irmgard Loden,iloden,iloden@myazurelab.com,iloden@myazurelab.com,"OU=IT,DC=myazurelab,DC=com",password#1,IronPacket,IT
Jeannette Oboyle,joboyle,joboyle@myazurelab.com,joboyle@myazurelab.com,"OU=IT,DC=myazurelab,DC=com",password#1,IronPacket,IT
Heath Juares,hjuares,hjuares@myazurelab.com,hjuares@myazurelab.com,"OU=HR,DC=myazurelab,DC=com",password#1,IronPacket,HR
Leilani Isenberg,lisenberg,lisenberg@myazurelab.com,lisenberg@myazurelab.com,"OU=HR,DC=myazurelab,DC=com",password#1,IronPacket,HR
Chandra Tillery,ctillery,ctillery@myazurelab.com,ctillery@myazurelab.com,"OU=HR,DC=myazurelab,DC=com",password#1,IronPacket,HR
Kanesha Kimery,kkimery,kkimery@myazurelab.com,kkimery@myazurelab.com,"OU=HR,DC=myazurelab,DC=com",password#1,IronPacket,HR
Lila Eisert,leisert,leisert@myazurelab.com,leisert@myazurelab.com,"OU=HR,DC=myazurelab,DC=com",password#1,IronPacket,HR
Maye Mendes,mmendes,mmendes@myazurelab.com,mmendes@myazurelab.com,"OU=HR,DC=myazurelab,DC=com",password#1,IronPacket,HR
Elida Biller,ebiller,ebiller@myazurelab.com,ebiller@myazurelab.com,"OU=HR,DC=myazurelab,DC=com",password#1,IronPacket,HR
Charleen Kosinski,ckosinski,ckosinski@myazurelab.com,ckosinski@myazurelab.com,"OU=HR,DC=myazurelab,DC=com",password#1,IronPacket,HR
Noma Rott,nrott,nrott@myazurelab.com,nrott@myazurelab.com,"OU=HR,DC=myazurelab,DC=com",password#1,IronPacket,HR
Vicenta Ezzell,vezzell,vezzell@myazurelab.com,vezzell@myazurelab.com,"OU=HR,DC=myazurelab,DC=com",password#1,IronPacket,HR
Griselda Borg,gborg,gborg@myazurelab.com,gborg@myazurelab.com,"OU=HR,DC=myazurelab,DC=com",password#1,IronPacket,HR
Carmella Macri,cmacri,cmacri@myazurelab.com,cmacri@myazurelab.com,"OU=HR,DC=myazurelab,DC=com",password#1,IronPacket,HR
Caroll Nagao,cnagao,cnagao@myazurelab.com,cnagao@myazurelab.com,"OU=HR,DC=myazurelab,DC=com",password#1,IronPacket,HR
Karl Chico,kchico,kchico@myazurelab.com,kchico@myazurelab.com,"OU=HR,DC=myazurelab,DC=com",password#1,IronPacket,HR
Maxie Dickey,mdickey,mdickey@myazurelab.com,mdickey@myazurelab.com,"OU=HR,DC=myazurelab,DC=com",password#1,IronPacket,HR
Teddy Zepeda,tzepeda,tzepeda@myazurelab.com,tzepeda@myazurelab.com,"OU=HR,DC=myazurelab,DC=com",password#1,IronPacket,HR
Madelene Wilkens,mwilkens,mwilkens@myazurelab.com,mwilkens@myazurelab.com,"OU=HR,DC=myazurelab,DC=com",password#1,IronPacket,HR
Osvaldo Simental,osimental,osimental@myazurelab.com,osimental@myazurelab.com,"OU=HR,DC=myazurelab,DC=com",password#1,IronPacket,HR
Lyle Reveles,lreveles,lreveles@myazurelab.com,lreveles@myazurelab.com,"OU=HR,DC=myazurelab,DC=com",password#1,IronPacket,HR
Magdalen Delillo,mdelillo,mdelillo@myazurelab.com,mdelillo@myazurelab.com,"OU=HR,DC=myazurelab,DC=com",password#1,IronPacket,HR
Shelli Wireman,swireman,swireman@myazurelab.com,swireman@myazurelab.com,"OU=HR,DC=myazurelab,DC=com",password#1,IronPacket,HR
Loretta Tyra,ltyra,ltyra@myazurelab.com,ltyra@myazurelab.com,"OU=HR,DC=myazurelab,DC=com",password#1,IronPacket,HR
Verdie Hermann,vhermann,vhermann@myazurelab.com,vhermann@myazurelab.com,"OU=HR,DC=myazurelab,DC=com",password#1,IronPacket,HR
Sally Rex,srex,srex@myazurelab.com,srex@myazurelab.com,"OU=HR,DC=myazurelab,DC=com",password#1,IronPacket,HR
Hue Levin,hlevin,hlevin@myazurelab.com,hlevin@myazurelab.com,"OU=HR,DC=myazurelab,DC=com",password#1,IronPacket,HR
Debbie Damore,ddamore,ddamore@myazurelab.com,ddamore@myazurelab.com,"OU=HR,DC=myazurelab,DC=com",password#1,IronPacket,HR
Hyon Norton,hnorton,hnorton@myazurelab.com,hnorton@myazurelab.com,"OU=Marketing,DC=myazurelab,DC=com",password#1,IronPacket,Marketing
Barrie Harriston,bharriston,bharriston@myazurelab.com,bharriston@myazurelab.com,"OU=Marketing,DC=myazurelab,DC=com",password#1,IronPacket,Marketing
Glenna Petrosky,gpetrosky,gpetrosky@myazurelab.com,gpetrosky@myazurelab.com,"OU=Marketing,DC=myazurelab,DC=com",password#1,IronPacket,Marketing
Odette Lahr,olahr,olahr@myazurelab.com,olahr@myazurelab.com,"OU=Marketing,DC=myazurelab,DC=com",password#1,IronPacket,Marketing
Nina Goldschmidt,ngoldschmidt,ngoldschmidt@myazurelab.com,ngoldschmidt@myazurelab.com,"OU=Marketing,DC=myazurelab,DC=com",password#1,IronPacket,Marketing
Jade Bachelor,jbachelor,jbachelor@myazurelab.com,jbachelor@myazurelab.com,"OU=Marketing,DC=myazurelab,DC=com",password#1,IronPacket,Marketing
Catherin Luque,cluque,cluque@myazurelab.com,cluque@myazurelab.com,"OU=Marketing,DC=myazurelab,DC=com",password#1,IronPacket,Marketing
Edgardo Cornette,ecornette,ecornette@myazurelab.com,ecornette@myazurelab.com,"OU=Marketing,DC=myazurelab,DC=com",password#1,IronPacket,Marketing
Pauline Villalpando,pvillalpando,pvillalpando@myazurelab.com,pvillalpando@myazurelab.com,"OU=Marketing,DC=myazurelab,DC=com",password#1,IronPacket,Marketing
Kacy Suniga,ksuniga,ksuniga@myazurelab.com,ksuniga@myazurelab.com,"OU=Marketing,DC=myazurelab,DC=com",password#1,IronPacket,Marketing
Man Casson,mcasson,mcasson@myazurelab.com,mcasson@myazurelab.com,"OU=Marketing,DC=myazurelab,DC=com",password#1,IronPacket,Marketing
Nellie Briski,nbriski,nbriski@myazurelab.com,nbriski@myazurelab.com,"OU=Marketing,DC=myazurelab,DC=com",password#1,IronPacket,Marketing
Jeraldine Roiger,jroiger,jroiger@myazurelab.com,jroiger@myazurelab.com,"OU=Marketing,DC=myazurelab,DC=com",password#1,IronPacket,Marketing
Jeannetta Saephan,jsaephan,jsaephan@myazurelab.com,jsaephan@myazurelab.com,"OU=Marketing,DC=myazurelab,DC=com",password#1,IronPacket,Marketing
Sabrina Drews,sdrews,sdrews@myazurelab.com,sdrews@myazurelab.com,"OU=Marketing,DC=myazurelab,DC=com",password#1,IronPacket,Marketing
Kum Godby,kgodby,kgodby@myazurelab.com,kgodby@myazurelab.com,"OU=Marketing,DC=myazurelab,DC=com",password#1,IronPacket,Marketing
Cassandra Navarrette,cnavarrette,cnavarrette@myazurelab.com,cnavarrette@myazurelab.com,"OU=Marketing,DC=myazurelab,DC=com",password#1,IronPacket,Marketing
Regena Fetzer,rfetzer,rfetzer@myazurelab.com,rfetzer@myazurelab.com,"OU=Marketing,DC=myazurelab,DC=com",password#1,IronPacket,Marketing
Hortense Rusin,hrusin,hrusin@myazurelab.com,hrusin@myazurelab.com,"OU=Marketing,DC=myazurelab,DC=com",password#1,IronPacket,Marketing
Candice Schueler,cschueler,cschueler@myazurelab.com,cschueler@myazurelab.com,"OU=Marketing,DC=myazurelab,DC=com",password#1,IronPacket,Marketing
Jerrica Gatson,jgatson,jgatson@myazurelab.com,jgatson@myazurelab.com,"OU=Marketing,DC=myazurelab,DC=com",password#1,IronPacket,Marketing
Kasey Mantooth,kmantooth,kmantooth@myazurelab.com,kmantooth@myazurelab.com,"OU=Marketing,DC=myazurelab,DC=com",password#1,IronPacket,Marketing
Anya Hitch,ahitch,ahitch@myazurelab.com,ahitch@myazurelab.com,"OU=Marketing,DC=myazurelab,DC=com",password#1,IronPacket,Marketing
Silvana Dupras,sdupras,sdupras@myazurelab.com,sdupras@myazurelab.com,"OU=Marketing,DC=myazurelab,DC=com",password#1,IronPacket,Marketing
Sebrina Bivins,sbivins,sbivins@myazurelab.com,sbivins@myazurelab.com,"OU=Marketing,DC=myazurelab,DC=com",password#1,IronPacket,Marketing
Kristyn Leisinger,kleisinger,kleisinger@myazurelab.com,kleisinger@myazurelab.com,"OU=Marketing,DC=myazurelab,DC=com",password#1,IronPacket,Marketing
Kali Coach,kcoach,kcoach@myazurelab.com,kcoach@myazurelab.com,"OU=Sales,DC=myazurelab,DC=com",password#1,IronPacket,Sales
Nana Moczygemba,nmoczygemba,nmoczygemba@myazurelab.com,nmoczygemba@myazurelab.com,"OU=Sales,DC=myazurelab,DC=com",password#1,IronPacket,Sales
Tatum Lirette,tlirette,tlirette@myazurelab.com,tlirette@myazurelab.com,"OU=Sales,DC=myazurelab,DC=com",password#1,IronPacket,Sales
Jordon Raymo,jraymo,jraymo@myazurelab.com,jraymo@myazurelab.com,"OU=Sales,DC=myazurelab,DC=com",password#1,IronPacket,Sales
Eugenia Bouton,ebouton,ebouton@myazurelab.com,ebouton@myazurelab.com,"OU=Sales,DC=myazurelab,DC=com",password#1,IronPacket,Sales
Rigoberto Iverson,riverson,riverson@myazurelab.com,riverson@myazurelab.com,"OU=Sales,DC=myazurelab,DC=com",password#1,IronPacket,Sales
Georgiana Lakin,glakin,glakin@myazurelab.com,glakin@myazurelab.com,"OU=Sales,DC=myazurelab,DC=com",password#1,IronPacket,Sales
Diedre Barrios,dbarrios,dbarrios@myazurelab.com,dbarrios@myazurelab.com,"OU=Sales,DC=myazurelab,DC=com",password#1,IronPacket,Sales
Rena Clendenin,rclendenin,rclendenin@myazurelab.com,rclendenin@myazurelab.com,"OU=Sales,DC=myazurelab,DC=com",password#1,IronPacket,Sales
Emma Maring,emaring,emaring@myazurelab.com,emaring@myazurelab.com,"OU=Sales,DC=myazurelab,DC=com",password#1,IronPacket,Sales
Vance Woolsey,vwoolsey,vwoolsey@myazurelab.com,vwoolsey@myazurelab.com,"OU=Sales,DC=myazurelab,DC=com",password#1,IronPacket,Sales
Senaida Derrick,sderrick,sderrick@myazurelab.com,sderrick@myazurelab.com,"OU=Sales,DC=myazurelab,DC=com",password#1,IronPacket,Sales
Susan Auclair,sauclair,sauclair@myazurelab.com,sauclair@myazurelab.com,"OU=Sales,DC=myazurelab,DC=com",password#1,IronPacket,Sales
Pura Christman,pchristman,pchristman@myazurelab.com,pchristman@myazurelab.com,"OU=Sales,DC=myazurelab,DC=com",password#1,IronPacket,Sales
Danille Feist,dfeist,dfeist@myazurelab.com,dfeist@myazurelab.com,"OU=Sales,DC=myazurelab,DC=com",password#1,IronPacket,Sales
Cleopatra Kocher,ckocher,ckocher@myazurelab.com,ckocher@myazurelab.com,"OU=Sales,DC=myazurelab,DC=com",password#1,IronPacket,Sales
Winnie Melnyk,wmelnyk,wmelnyk@myazurelab.com,wmelnyk@myazurelab.com,"OU=Sales,DC=myazurelab,DC=com",password#1,IronPacket,Sales
Jeana Demuth,jdemuth,jdemuth@myazurelab.com,jdemuth@myazurelab.com,"OU=Sales,DC=myazurelab,DC=com",password#1,IronPacket,Sales
Faye Brokaw,fbrokaw,fbrokaw@myazurelab.com,fbrokaw@myazurelab.com,"OU=Sales,DC=myazurelab,DC=com",password#1,IronPacket,Sales
Gladys Leanos,gleanos,gleanos@myazurelab.com,gleanos@myazurelab.com,"OU=Sales,DC=myazurelab,DC=com",password#1,IronPacket,Sales
Kelley Hodson,khodson,khodson@myazurelab.com,khodson@myazurelab.com,"OU=Sales,DC=myazurelab,DC=com",password#1,IronPacket,Sales
Brittany Ewan,bewan,bewan@myazurelab.com,bewan@myazurelab.com,"OU=Sales,DC=myazurelab,DC=com",password#1,IronPacket,Sales
Annemarie Matousek,amatousek,amatousek@myazurelab.com,amatousek@myazurelab.com,"OU=Sales,DC=myazurelab,DC=com",password#1,IronPacket,Sales
Nena Jaggers,njaggers,njaggers@myazurelab.com,njaggers@myazurelab.com,"OU=Sales,DC=myazurelab,DC=com",password#1,IronPacket,Sales
Lyn Silcox,lsilcox,lsilcox@myazurelab.com,lsilcox@myazurelab.com,"OU=Sales,DC=myazurelab,DC=com",password#1,IronPacket,Sales
Julia Stansel,jstansel,jstansel@myazurelab.com,jstansel@myazurelab.com,"OU=Sales,DC=myazurelab,DC=com",password#1,IronPacket,Sales
